id,revenue
3001,76685941.28317632
3002,-33651951.47626293
3003,13680947.62184298
3004,-9061908.75255683
3005,-16724916.952078432
3006,5096418.462704152
3007,8291340.572300285
3008,79305048.06839512
3009,52888203.578734145
3010,309267167.3573511
3011,-24381411.639817536
3012,-6514668.278531939
3013,70085217.81821798
3014,-413056.33181643486
3015,84190221.29631434
3016,-10717401.655253798
3017,161329162.62971318
3018,220402326.14843333
3019,396417.2981694937
3020,536004310.8307655
3021,64705603.869463414
3022,76764189.30016398
3023,-14252795.018753618
3024,49537909.35583958
3025,-26775546.299325705
3026,77617627.37173624
3027,17031112.549432784
3028,106270136.40625373
3029,55857156.05793768
3030,81135189.36321355
3031,28048593.495781794
3032,-1914687.9750580788
3033,554321.7138868272
3034,-9802590.464753062
3035,8317725.293906361
3036,-227103.43096488714
3037,118468289.98919733
3038,29504275.560581237
3039,41281625.883698
3040,-16716749.654457778
3041,28745559.712038085
3042,-37130004.32379788
3043,52182300.97682005
3044,6673367.653998345
3045,417759095.5502089
3046,-8997779.557675421
3047,-7561649.467970878
3048,12858147.878945202
3049,42014606.2321883
3050,86791026.99072231
3051,-40995444.13395345
3052,47370289.18759748
3053,-10988014.292621195
3054,-1764434.2650538683
3055,98116694.24578935
3056,-21139620.072951168
3057,119822768.31696361
3058,495484607.3157792
3059,-11602638.550259888
3060,111609072.10158102
3061,109483171.38240018
3062,40622009.92739919
3063,35149012.85831407
3064,160562325.87031415
3065,58456346.358641505
3066,111861456.23452991
3067,-5282253.548544973
3068,111611716.41472015
3069,359201522.61337805
3070,-11523697.029653013
3071,19230517.50121686
3072,421169089.48083436
3073,-8812191.227802008
3074,-16694506.915524036
3075,58038773.81297177
3076,220642732.17391348
3077,25387556.933638215
3078,122793095.09770875
3079,60678169.25882809
3080,192926604.39786273
3081,9285996.04614532
3082,14393154.678347796
3083,8056060.08723554
3084,5003766.7834869325
3085,85308622.36587779
3086,100041892.35730794
3087,-12877106.786819428
3088,-3400291.1752497554
3089,-21763530.100414187
3090,54308570.045423344
3091,64289284.08488487
3092,1905285.3683940172
3093,203900094.03971532
3094,129278415.55492125
3095,76229729.37771653
3096,-15380396.098617703
3097,732835073.8871735
3098,76944327.13488027
3099,81596838.57674198
3100,-14322467.03128469
3101,20841587.465317905
3102,-8820206.531763315
3103,-9973512.006080389
3104,-13526855.185887098
3105,181758017.69722143
3106,198408042.48354846
3107,35784389.542502955
3108,16148266.326524943
3109,-4657350.349769264
3110,383440230.828518
3111,-12726689.447965592
3112,-31126735.00840512
3113,24610793.562332407
3114,42937570.18561332
3115,27304600.125795126
3116,18512966.57143891
3117,-10442723.312412918
3118,-26027389.902242333
3119,279338852.2674195
3120,224178580.9901629
3121,42931586.030925035
3122,11001043.942908645
3123,20204545.94338137
3124,4719579.092797339
3125,-23763981.28438443
3126,29589595.099067643
3127,11054258.896033496
3128,62553432.82199155
3129,166368887.21133977
3130,21295856.65364623
3131,-44158630.25323346
3132,-7677921.484516382
3133,11191361.688720196
3134,797204.6509354115
3135,40549086.27377845
3136,-4350789.937316269
3137,226173237.57085693
3138,-2890383.920188457
3139,52823767.37888569
3140,118302438.54669401
3141,28065947.05895056
3142,-10413049.379203111
3143,194524512.2419209
3144,58777885.86582929
3145,26716443.959414333
3146,-12123621.639020473
3147,34677449.06541492
3148,6689231.514832765
3149,162036625.4614172
3150,183851420.5000476
3151,-2655206.433416277
3152,9108821.405778348
3153,20335817.14867109
3154,14194079.7245889
3155,37274948.71533914
3156,80138488.93489039
3157,30047468.090097204
3158,158357955.26577362
3159,27587336.076227963
3160,-15843469.044237345
3161,-9346171.37554273
3162,-5331626.266586274
3163,105020259.35047027
3164,-13751547.024728864
3165,-26999699.2624934
3166,-31195685.318339795
3167,83459495.06648517
3168,-3021036.3372422755
3169,-2106893.6911553442
3170,14994689.587549388
3171,19640713.79286781
3172,53009074.67524955
3173,1478995.8619014025
3174,-15530036.141590923
3175,48745794.97002599
3176,90020784.09867814
3177,128518592.65287253
3178,-12929333.399107516
3179,-5447560.808564335
3180,14711647.892835468
3181,2417969.2765524983
3182,171014701.60491797
3183,66414742.26764245
3184,55563764.3836543
3185,166293888.11226374
3186,133811289.68425849
3187,-23018353.387485057
3188,6371180.655083597
3189,107145577.74430315
3190,70161834.15968877
3191,25797945.201072544
3192,51516381.52977991
3193,214200156.5664642
3194,97174679.00844209
3195,-15214646.022337794
3196,11519592.894141376
3197,31475736.399447486
3198,207968157.3152695
3199,323978266.89321864
3200,21209835.989051282
3201,49382057.590617925
3202,9285619.033822864
3203,-16447459.350513011
3204,6034389.373658419
3205,-18906657.83499816
3206,-16216375.570608556
3207,60061251.388007075
3208,14327342.188637674
3209,-10337411.020090818
3210,423954239.73365647
3211,-12931936.425525635
3212,83461343.67818157
3213,64352956.76018518
3214,-23458160.062247753
3215,158712.5346737504
3216,7910194.1455412805
3217,388352072.7296108
3218,60263127.921568215
3219,-15357155.248379558
3220,88798851.13058868
3221,-21286283.291956753
3222,-5838348.796517789
3223,5797918.4324967265
3224,-9239867.840986222
3225,5922330.462647408
3226,20538829.566907823
3227,116121545.99068794
3228,272510669.4232591
3229,150982609.04522783
3230,62743559.123473436
3231,33725987.56504056
3232,7289425.444252789
3233,38112067.20924701
3234,-8405368.757137448
3235,11906194.752711415
3236,2895669.6671564877
3237,13779787.72513619
3238,15846430.974416614
3239,-7895133.804953903
3240,353903843.8784926
3241,-5722681.515239388
3242,-26551528.889264673
3243,-30812571.838970006
3244,-16143139.895514816
3245,8639686.740200669
3246,70499549.16761476
3247,44622261.32454698
3248,87041397.25018592
3249,85549272.31970213
3250,342906433.7952576
3251,-12416194.09339583
3252,31044481.853259817
3253,72776653.58682622
3254,-20765570.146932155
3255,-17380037.2286506
3256,51057885.22573377
3257,-6469066.390179813
3258,16162656.875650704
3259,47903789.648112625
3260,3602014.845101714
3261,396483557.3627725
3262,121443084.00108889
3263,40918000.485296994
3264,-32148955.828778416
3265,-22091439.041707188
3266,-10567279.09085396
3267,22523644.542402983
3268,-11764734.371652901
3269,109439905.28541702
3270,81428779.59731407
3271,-11183140.6216425
3272,42649793.64629094
3273,17481643.215469718
3274,338320386.2484757
3275,16400060.556822747
3276,292911.3914412856
3277,-24603516.700230002
3278,138465871.48774353
3279,15692382.411275238
3280,354022224.8269752
3281,-5422053.814522922
3282,-14257229.820382863
3283,376520552.13535154
3284,11437155.04685095
3285,60029706.12701979
3286,-6553025.153867424
3287,11917445.57214731
3288,14477895.477490783
3289,58364599.306441605
3290,71971579.97899404
3291,37432092.861107066
3292,229849521.54939902
3293,94483329.67158738
3294,-7322532.3756679
3295,-3707938.1857413054
3296,-24516930.397022396
3297,11813351.285559118
3298,98279101.58933339
3299,-17951315.84447187
3300,14580453.25194937
3301,-23975970.3090252
3302,1770751.042104572
3303,-14963797.29474637
3304,6862019.040863365
3305,72630159.48284636
3306,-12787159.975632936
3307,48161082.29535605
3308,40294487.42913157
3309,-16703677.809013665
3310,5459563.960815012
3311,72007118.95918924
3312,44982806.95825018
3313,89283772.3548037
3314,-7690462.204544902
3315,123534476.73964925
3316,13697656.068823814
3317,3743878.338177234
3318,-25916984.581673294
3319,-6858243.692840368
3320,6302247.815754294
3321,9027557.277795613
3322,46591506.44781478
3323,136140890.85587737
3324,-45791584.28689793
3325,122972082.18134452
3326,254028219.5483411
3327,109609355.9326297
3328,122165524.00334433
3329,-2902929.602272451
3330,138568371.19828072
3331,2211194.589566827
3332,46080535.174643904
3333,309343369.9359207
3334,61367759.76152897
3335,95702172.26362485
3336,26919961.467273965
3337,-248331.08365869522
3338,3633262.8703296185
3339,4094776.0387646854
3340,91317498.34931242
3341,19147261.53741902
3342,97202704.2265351
3343,49558649.93832652
3344,-17161768.625998765
3345,47134098.22161898
3346,70070640.51773453
3347,-8637795.840683877
3348,73074209.35902119
3349,73166679.96705803
3350,224164358.3876139
3351,45435600.86416061
3352,20156005.809797376
3353,84340282.23264025
3354,-1684714.6112639308
3355,-17902955.535443902
3356,6607047.807598025
3357,-11752456.469147235
3358,-23840016.470954567
3359,68356759.14215977
3360,6211400.650693327
3361,153486286.2352914
3362,17694159.915914863
3363,10183722.936936885
3364,18298983.035114527
3365,-3663015.496405065
3366,145107789.76532835
3367,135618573.0294966
3368,-5678251.26335308
3369,55210834.41161549
3370,93763720.63254264
3371,46419622.8976405
3372,53569173.141663924
3373,27332564.041716695
3374,30027437.005611792
3375,115704450.16523196
3376,55053435.90613304
3377,39359792.81292477
3378,-6838873.884972811
3379,202134601.10955524
3380,68201018.29986186
3381,-9841432.462059945
3382,-10986007.329833478
3383,5987399.636764765
3384,101320304.27353828
3385,105407410.414953
3386,-9530291.165819526
3387,33220073.58463739
3388,145902028.4417699
3389,589295447.1278723
3390,-32040815.384245664
3391,26991167.70060359
3392,6925822.456559449
3393,6457610.149106532
3394,150512918.42069426
3395,159696488.28266087
3396,-12914774.344595611
3397,-8731234.56051749
3398,262251598.78340358
3399,123003922.51619148
3400,60505773.95719877
3401,27428687.07075812
